time,my_x,my_y,my_z,my_speed,my_roll,my_pitch,my_yaw,target_id,target_x,target_y,target_z,target_speed,target_gecikme_ms,target_dist,kilitlenme,cmd_yaw,cmd_speed,cmd_alt,mode_log
1765054234.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,20.00,100.00,HEDEF YOK
1765054234.56,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.06,20.00,100.00,HEDEF YOK
1765054234.56,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.06,20.00,100.00,HEDEF YOK
1765054234.56,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.06,20.00,100.00,HEDEF YOK
1765054234.57,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.06,20.00,100.00,HEDEF YOK
1765054234.80,0.00,0.00,0.00,0.00,0.09,0.09,0.10,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.10,20.00,100.00,HEDEF YOK
1765054234.80,0.00,0.00,0.00,0.00,0.09,0.09,0.10,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.10,20.00,100.00,HEDEF YOK
1765054234.80,0.00,0.00,0.00,0.00,0.09,0.09,0.10,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.10,20.00,100.00,HEDEF YOK
1765054234.80,0.00,0.00,0.00,0.00,0.09,0.09,0.10,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.10,20.00,100.00,HEDEF YOK
1765054235.06,0.00,0.00,0.00,0.00,0.14,0.14,0.16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.16,20.00,100.00,HEDEF YOK
1765054235.06,0.00,0.00,0.00,0.00,0.14,0.14,0.16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.16,20.00,100.00,HEDEF YOK
1765054235.06,0.00,0.00,0.00,0.00,0.14,0.14,0.16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.16,20.00,100.00,HEDEF YOK
1765054235.06,0.00,0.00,0.00,0.00,0.14,0.14,0.16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.16,20.00,100.00,HEDEF YOK
1765054235.30,0.00,0.00,0.00,0.00,0.21,0.21,0.23,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.23,20.00,100.00,HEDEF YOK
